time,open,high,low,close,BOS Demand,CHOCH Demand,BOS Supply,CHOCH Supply,New Demand Zone,New Supply Zone,Zone Mitigated,Zone Broken,Volume Spike,Bullish Sweep,Bearish Sweep,Bullish Confirmation,Bearish Confirmation,ATR Short Stop Loss,ATR Long Stop Loss,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross,CVD,Signal
1781694300,30461,30483.75,30456,30467.5,0,0,0,0,0,1,0,0,0,0,0,1,0,30520.219981937036,30419.530018062964,24.31332129135822,3402,3863.8176989223853,6142.089822575366,71.39068746231257,0,0,1,0,24770.993100105316,26720.094632142762
1781694600,30467.75,30483,30465.75,30479.25,0,0,0,0,0,0,0,0,0,0,0,1,0,30518.713197512963,30430.036802487037,23.80879834197549,2052,3259.878465948257,5795.726548383578,210.62432182395767,0,0,0,0,26138.993100105316,26664.751629091577
1781694900,30479,30490.75,30473.5,30488.75,0,0,0,0,0,0,1,0,0,0,0,1,0,30525.76046911918,30438.48953088082,23.340312746120098,2389,2969.585643965505,4889.817698922386,321.01330863921527,0,0,0,0,27489.297447931403,26743.279802314417
1781695200,30489,30493.5,30477.5,30479.5,0,0,0,0,0,0,0,0,0,0,0,0,1,30527.72400703924,30443.27599296076,22.816004692825803,3076,3005.0570959770034,4454.378465948257,109.92849714693253,0,0,0,0,25662.922447931403,26640.38862570651
1781695500,30479.5,30482,30461,30469.5,0,0,0,0,0,0,0,0,0,0,0,0,1,30516.029435107863,30426.970564892137,22.686290071909674,3514,3174.7047306513355,4507.585643965505,-48.54390290208204,0,0,0,1,23989.58911459807,26387.931529410467
1781695800,30469.5,30472,30458.75,30465.75,0,0,0,0,0,0,0,0,0,0,0,0,1,30505.01840402873,30425.73159597127,22.012269352487554,2846,3065.1364871008905,4762.057095977003,-95.76756201292483,0,0,0,0,23184.117416484863,26082.806375798504
1781696100,30465.75,30468.25,30456,30462,0,0,0,0,0,0,0,0,0,0,0,0,1,30500.22244659811,30424.02755340189,21.314964398738443,1989,2706.424324733927,4597.704730651336,-115.1081872245224,0,0,0,0,22575.239865464457,25748.752422433357
1781696400,30461.5,30469.5,30432.75,30437,0,0,0,0,0,0,0,0,0,0,0,0,1,30503.126200412527,30399.123799587473,22.417466941685696,4739,3383.949549822618,4059.63648710089,-370.01339652203706,0,0,0,0,19415.906532131125,25145.624242404574
1781696700,30436.25,30445.5,30413.5,30423,0,0,0,0,0,0,1,0,0,1,0,0,1,30480.152900383062,30378.847099616938,23.101933588708146,5140,3969.2996998817453,5075.924324733927,-478.2690984662178,0,0,0,0,17287.625282131125,24397.243389045198
1781697000,30422.5,30428.5,30407.25,30411,0,0,1,0,0,0,0,1,0,0,0,0,1,30462.954478927128,30372.795521072872,22.969652618086137,4355,4097.8664665878305,5953.949549822618,-584.7009326240877,0,0,0,0,14930.801752719359,23495.67751891893
