time,open,high,low,close,Shapes,Shapes,Bullish Sweep,Bearish Sweep,ATR Short Stop Loss,ATR Long Stop Loss,VWAP,Upper Band #1,Lower Band #1,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross
1781777520,30465.25,30468.75,30465.25,30466.25,1,0,0,0,30481.732337764763,30452.267662235237,30366.71377950723,30439.729168550723,30293.698390463738,8.654891843176012,295,391.5481348125407,659.7333033282165,-49.0047833240436,0,0,0,0
1781777580,30466.5,30480.25,30464.25,30479.5,1,0,0,0,30494.01931363871,30450.48068636129,30366.825205297504,30439.885184772756,30293.76522582225,9.179542425806298,560,447.6987565416938,587.3222022188111,1.112748400748906,0,0,1,0
1781777640,30479.5,30486,30478.75,30483.75,1,0,0,0,30499.56257695023,30465.18742304977,30366.958263450244,30440.081833236152,30293.834693664336,9.041717966820134,623,506.1325043611292,671.5481348125406,33.51993495624815,0,0,0,0
1781777700,30483,30488.5,30481,30483.5,0,0,0,0,30501.897392882358,30467.602607117642,30367.08454190683,30440.269989926015,30293.89909388764,8.93159525490441,585,532.4216695740861,759.1987565416938,29.020481286765445,0,0,0,0
1781777760,30484,30488.75,30482.25,30487.25,1,0,0,0,30501.88686481933,30469.11313518067,30367.16087042957,30440.38485179715,30293.936889061988,8.757909879554095,349,471.28111304939074,798.6325043611291,37.897088584052746,0,0,0,0
1781777820,30486.75,30486.75,30480,30480.75,0,1,0,0,30499.72530304652,30467.02469695348,30367.225911690344,30440.480436852376,30293.971386528312,8.650202031014517,307,416.52074203292716,706.9216695740861,2.781526726208007,0,0,0,0
1781777880,30480.5,30483.25,30478.25,30482.5,1,0,0,0,30495.83420997177,30465.66579002823,30367.313875123138,30440.608610743657,30294.01913950262,8.38947331451348,420,417.6804946886181,624.7811130493908,15.608681684593726,0,0,0,0
1781777940,30483.25,30489.25,30482.5,30489.25,1,0,0,0,30501.658552116645,30470.091447883355,30367.39115118133,30440.725267592876,30294.057034769787,8.272368077762518,352,395.78699645907875,626.5207420329272,39.58894841817393,0,0,0,0
1781778000,30488.5,30494.5,30486.5,30492.75,1,0,0,0,30506.879369822596,30474.120630177404,30367.5105369233,30440.910003440724,30294.111070405874,8.252913215065195,526,439.1913309727192,593.6804946886182,55.7179286525828,0,0,0,0
1781778060,30492.75,30493,30487.75,30489.25,0,1,0,0,30505.057629120984,30475.692370879016,30367.60249631644,30441.051067537643,30294.153925095234,8.038419413989109,410,429.4608873151461,658.7869964590788,16.47728532980222,0,0,0,0
