time,open,high,low,close,BOS Demand,CHOCH Demand,BOS Supply,CHOCH Supply,New Demand Zone,New Supply Zone,Zone Mitigated,Zone Broken,Volume Spike,Bullish Sweep,Bearish Sweep,Bullish Confirmation,Bearish Confirmation,ATR Short Stop Loss,ATR Long Stop Loss,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross,CVD,Signal
1726812000,20047.25,20069.75,20007.25,20012,0,0,0,0,0,0,0,0,0,0,0,0,1,20256.649368234954,19820.350631765046,124.59957882330282,62718,122363.81957121656,228280.09403523724,888.0834635141509,0,0,0,0,-54003.39217216642,98984.39753414174
1726826400,20012.25,20082.5,19981.25,20001.5,0,0,0,0,0,0,0,0,0,0,0,0,1,20266.897627646744,19796.852372353256,122.93175176449549,265962,170229.87971414436,183545.72935682483,-3435.143575508453,0,0,0,1,-82241.33291290716,81724.80415823232
1726840800,20001.25,20036.5,19860,19995.5,0,0,0,0,0,0,0,0,1,0,0,0,1,20226.637082814832,19669.862917185168,126.75805520988867,563082,301180.58647609624,255344.81957121653,-6005.28046074885,0,0,0,0,-100585.36407438025,64361.9309932216
1726855200,19995.75,20084,19934,20014.5,0,0,0,0,0,0,0,0,0,0,0,1,0,20276.627291185203,19741.372708814797,128.41819412346806,259359,287240.0576507308,451770.8797141444,-3283.2456611207253,0,0,0,0,-68165.48907438025,51740.27193916428
1727042400,20039,20149,19996.25,20131.25,0,0,0,0,0,0,1,0,0,0,0,1,0,20344.23427038626,19801.01572961374,130.15618025750604,64714,213064.70510048722,430860.08647609624,-414.2000392776372,0,0,0,0,39082.59574468085,50534.7789682611
1727056800,20131.25,20164,20103.75,20107,0,0,0,0,0,0,0,0,0,0,0,0,1,20351.744322501527,19916.005677498473,125.16288166768418,44568,156899.13673365815,319597.0576507308,-3436.4134602917948,0,0,0,0,21144.438068332307,47735.698882553595
1727071200,20107.25,20108.25,19955,20078.5,0,0,0,0,0,0,0,0,0,0,0,0,1,20299.003656608562,19764.246343391438,127.16910440570673,110003,141267.0911557721,235348.70510048722,-6130.447852368727,0,0,0,0,507.659928038669,43237.79041069503
1727085600,20078.25,20106,20031.75,20066,0,0,0,0,0,0,0,0,0,0,0,0,1,20291.083752565093,19846.666247434907,123.38916837672768,203227,161920.39410384806,211900.63673365815,-9497.116991001874,0,0,0,0,-33021.373741995005,35975.0128723436
1727100000,20066.25,20126.75,20018.5,20073.5,0,0,0,0,0,0,0,0,1,0,0,1,0,20310.211698810443,19835.038301189557,122.3077992069614,536964,286934.92940256535,242880.5911557721,-5638.311732150761,0,0,0,0,2941.5731402220845,32828.97099309393
1727114400,20073.5,20089,20053.25,20063.25,0,0,0,0,0,0,0,0,0,0,0,0,1,20263.18764889541,19879.06235110459,116.12509926360701,137578,237149.28626837692,430402.394103848,-9546.985488695569,0,0,0,0,-36503.86741921848,26225.84352525465
1727128800,20065.25,20095.75,20039,20050,0,0,0,0,0,0,0,0,0,0,0,0,1,20263.576031117165,19871.173968882835,111.88402074477793,45906,173401.52417891796,355723.92940256535,-10116.95100512301,0,0,0,0,-12335.97356828194,22553.289516346405
1727143200,20050.5,20109.75,20022.5,20104,0,0,0,0,0,0,0,0,0,0,0,1,0,20274.936671751653,19857.313328248347,110.12444783443665,44208,130337.01611927865,260102.28626837692,-6800.451640137837,0,0,0,0,14771.510672405739,21812.16772168539
1727157600,20104.75,20179.25,20093,20131.5,0,0,0,0,0,0,0,0,0,0,0,1,0,20341.878695197964,19930.371304802036,108.41913013197689,79085,113253.01074618577,195505.52417891799,-4291.703926054184,0,0,0,0,39299.32226660864,23477.61101167808
1727172000,20131.25,20155.5,20050.5,20092.25,0,0,0,0,0,0,0,0,0,0,0,0,1,20317.762359826684,19888.237640173316,108.1749065511214,222616,149707.3404974572,169879.51611927865,-12302.648066466316,0,0,0,0,-43386.62059053422,17109.58895432453
1727186400,20092.25,20214.75,19952,20165,0,0,0,0,0,0,0,0,1,0,1,1,0,20393.57397698192,19773.17602301808,119.21598465461273,590598,296670.89366497146,224561.01074618578,4414.147540364571,0,0,1,0,120137.65914305284,26921.786115155795
1727200800,20165.5,20189.5,20108.75,20185.5,0,0,0,0,0,0,0,0,0,0,0,1,0,20364.20262148321,19934.04737851679,116.46841432214039,164169,252503.59577664765,445006.3404974572,6454.547360474226,0,0,0,0,160798.71177463178,39671.96951129637
