time,open,high,low,close,Shapes,Shapes,Bullish Sweep,Bearish Sweep,ATR Short Stop Loss,ATR Long Stop Loss,VWAP,Upper Band #1,Lower Band #1,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross
1781238600,29535.25,29545.75,29524,29534.5,0,1,0,0,29586.835530765526,29482.914469234474,29543.79337102107,29578.192573668228,29509.394168373914,27.390353843684917,2361,2474.4040843055454,3796.659189687477,153.60523851032497,0,0,0,0
1781238900,29533.5,29534,29521.25,29525,0,1,0,0,29573.570492853705,29481.679507146295,29543.688923163438,29578.00834420756,29509.369502119316,26.380328569135994,1791,2246.602722870364,3711.606126458318,13.795465335705948,0,0,0,0
1781239200,29525.25,29544.25,29520.75,29537.75,1,0,0,0,29583.511886221295,29481.488113778705,29543.629612156124,29577.849167021654,29509.410057290595,26.174590814197707,1848,2113.7351485802424,3369.9040843055454,104.51094972780514,0,0,0,0
1781239500,29538,29547.25,29530.25,29535,0,1,0,0,29585.528894348347,29491.971105651653,29543.591027529717,29577.706154583728,29509.475900475707,25.51926289889787,1863,2030.1567657201615,3170.6027228703633,54.34136962011394,0,0,0,0
1781239800,29535.75,29550,29532.5,29539.25,1,0,0,0,29587.41968760918,29495.08031239082,29543.569155371148,29577.56097294783,29509.577337794464,24.946458406119454,2168,2076.104510480108,3045.2351485802424,84.77858698333716,0,0,0,0
1781240100,29538,29546.25,29536.25,29544.75,1,0,0,0,29582.06828135138,29500.43171864862,29543.56526797176,29577.499774904172,29509.63076103935,23.878854234253776,1009,1720.4030069867385,3114.1567657201617,132.28581875723285,0,0,0,0
1781240400,29544.5,29556.75,29528,29529,0,1,0,0,29593.090189826282,29491.659810173718,29543.529560677074,29577.35960240155,29509.6995189526,24.22679321752136,1903,1781.2686713244923,2580.604510480108,9.505461720401328,0,0,0,0
1781240700,29529,29531.75,29506,29519.75,0,1,0,0,29568.253390552974,29469.496609447026,29543.354961490088,29577.126147513012,29509.583775467163,24.335593701984124,2173,1911.8457808829949,2671.9030069867385,-67.58354189209484,0,0,0,1
1781241000,29521,29528.25,29503,29525.25,1,0,0,0,29564.851362656336,29466.398637343664,29543.227604619493,29576.957064394144,29509.49814484484,24.400908437556687,1583,1802.2305205886632,2867.768671324492,-31.463823671553264,0,0,0,0
1781241300,29525.25,29540,29512.75,29534.25,1,0,0,0,29576.9066224666,29475.8433775334,29543.12849954224,29576.76110220222,29509.495896882258,24.60441497773121,2138,1914.153680392442,2703.345780882995,39.5688574544038,0,0,1,0
1781241600,29535.5,29542.25,29522.25,29523.75,0,1,0,0,29578.66329229041,29485.83670770959,29543.056463914465,29576.615247623507,29509.497680205423,24.275528193607553,1621,1816.4357869282946,2871.2305205886632,-58.81465730530831,0,0,0,1
1781241900,29523.75,29537,29516.25,29534.25,1,0,0,0,29573.035557126812,29480.214442873188,29542.977240454056,29576.45652667954,29509.497954228573,24.023704751207013,1770,1800.9571912855297,2724.653680392442,35.23373459715503,0,0,1,0
1781242200,29533.75,29533.75,29500.75,29515,0,1,0,0,29570.800874474895,29463.699125525105,29542.773200760596,29576.20351271687,29509.34288880432,24.700582983263654,2410,2003.9714608570198,2701.4357869282944,-101.41303876027405,0,0,0,1
1781242500,29515,29522,29456,29472.5,0,1,0,0,29563.475812012402,29414.524187987598,29541.809437679618,29575.80371157526,29507.815163783976,27.65054134160196,5169,3058.9809739046796,3005.95719128553,-396.4340888441535,0,0,0,0
1781242800,29472.5,29511,29470.5,29480.25,1,0,0,0,29553.8525397258,29427.6474602742,29540.748893961118,29575.243610159323,29506.254177762912,28.56835981720182,6302,4139.987315936452,4588.471460857019,-207.62437712941392,0,0,0,0
1781243100,29479.75,29485.25,29424,29429.75,0,1,0,0,29531.604144031102,29377.645855968898,29538.835816888775,29575.47923378455,29502.192399993,30.90276268740169,6705,4994.991543957635,6209.980973904679,-680.611423437636,0,0,0,0
1781243400,29430,29440,29374.25,29429,0,1,0,0,29490.08777660031,29324.16222339969,29535.394860847464,29576.89047045307,29493.89925124186,33.391851066873,9412,6467.327695971757,7492.487315936452,-560.0507219608194,0,0,0,0
1781243700,29430,29432.75,29392.25,29402.25,0,1,0,0,29483.599363986003,29341.400636013997,29533.614289411365,29577.424665272767,29489.803913549964,33.89957599066779,4866,5933.551797314504,9700.991543957636,-758.0461520802079,0,0,0,0
